Sample_ID,Zeb_Count,Average_Length_mm,Macro_Count,Macro_per_Zeb,Macro_per_m,SA_Druse_mm,SA_Druse_m,Diptera,Amphipoda,Trichoptera,Ephemeroptera,Coleptera,Odonata,Plecoptera,Gastropoda,Platyhelminthes,Unionidae,Subseason_new,Subseason,Site_new,Site,Simpson,corr_diptera,corr_amphipoda,corr_trichoptera,corr_ephemeroptera,corr_coleptera,corr_odonata,corr_plecoptera,corr_gastropoda,corr_platyhelminthes,corr_unionidae,corr_simpson,corr_count,use_simp,zeb_presence
48,118,12.01,2,0.016949153,0,28281.73,0.02828173,0,0,1,0,0,0,0,1,0,0,May,1,Downstream Andrusia,5,1,0,0,126.1789849,0,0,0,0,126.1789849,0,0,0.505920477,253.3579698,0.505920477,1
49,4,10.6,4,1,0,1330.13,0.00133013,0,0,1,0,0,0,0,3,0,0,May,1,Downstream Andrusia,5,0.5,0,0,126.1789849,0,0,0,0,378.5369547,0,0,0.376980701,505.2159396,0.376980701,1
50,69,14.35,6,0.086956522,12,10888.275,0.010888275,1,2,1,0,1,0,0,1,0,0,May,1,Downstream Andrusia,5,0.933333333,126.1789849,252.3579698,126.1789849,0,126.1789849,0,0,126.1789849,0,0,0.779351218,758.0072427,0.779351218,1
51,58,15.6,5,0.086206897,0,12663.555,0.012663555,2,0,0,1,0,0,0,2,0,0,May,1,Downstream Andrusia,5,0.8,252.3579698,0,0,126.1789849,0,0,0,252.3579698,0,0,0.641925446,631.6949245,0.641925446,1
52,9,15.77777778,8,0.888888889,0,837.675,0.000837675,4,1,0,1,0,1,0,1,0,0,May,1,Downstream Wolf,4,0.785714286,504.7159396,126.1789849,0,126.1789849,0,126.1789849,0,126.1789849,0,0,0.688666847,1010.217593,0.688666847,1
53,1,19.9,1,1,2,1021.44,0.00102144,0,0,0,0,0,1,0,0,0,0,May,1,Downstream Wolf,4,1,0,0,0,0,0,126.1789849,0,0,0,0,0.015725869,127.1789849,0.015725869,1
54,1,18.4,5,5,0,831.94,0.00083194,0,1,1,2,0,0,0,1,0,0,May,1,Downstream Wolf,4,0.9,0,126.1789849,126.1789849,252.3579698,0,0,0,126.1789849,0,0,0.721937581,631.7949245,0.721937581,1
55,4,14.525,6,1.5,0,1690.28,0.00169028,0,0,1,4,0,0,0,1,0,0,May,1,Downstream Wolf,4,0.6,0,0,126.1789849,504.7159396,0,0,0,126.1789849,0,0,0.50145237,757.6739093,0.50145237,1
56,2,20.05,2,1,0,1685.66,0.00168566,0,1,0,1,0,0,0,0,0,0,May,1,Downstream Wolf,4,1,0,126.1789849,0,126.1789849,0,0,0,0,0,0,0.505920477,253.3579698,0.505920477,1
57,46,11.28,5,0.108695652,0,10120.33,0.01012033,5,0,0,0,0,0,0,0,0,0,May,1,Downstream Stump,3,0,630.8949245,0,0,0,0,0,0,0,0,0,0,630.8949245,0,1
58,81,13.42,12,0.148148148,0,12882.225,0.012882225,7,0,3,2,0,0,0,0,0,0,May,1,Downstream Stump,3,0.621212121,883.2528942,0,378.5369547,252.3579698,0,0,0,0,0,0,0.570173656,1514.769031,0.570173656,1
59,243,15.83333333,18,0.074074074,0,38040.725,0.038040725,6,2,9,1,0,0,0,0,0,0,May,1,Downstream Stump,3,0.660130719,757.0739093,252.3579698,1135.610864,126.1789849,0,0,0,0,0,0,0.623950092,2271.881859,0.623950092,1
60,56,13.8,11,0.196428571,0,14586.9,0.0145869,7,2,0,0,1,0,0,1,0,0,May,1,Downstream Stump,3,0.6,883.2528942,252.3579698,0,0,126.1789849,0,0,126.1789849,0,0,0.546240351,1388.568834,0.546240351,1
61,305,14.984,31,0.101639344,0,37564.805,0.037564805,25,3,2,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.346236559,3154.474622,378.5369547,252.3579698,0,0,0,0,126.1789849,0,0,0.33527102,3911.894768,0.33527102,1
62,65,13.25,21,0.323076923,0,15331.775,0.015331775,4,2,4,1,3,0,0,7,0,0,May,1,Downstream Bemidji,2,0.823809524,504.7159396,252.3579698,504.7159396,126.1789849,378.5369547,0,0,883.2528942,0,0,0.785010432,2650.582492,0.785010432,1
63,16,14.81666667,0,0,0,3433.8,0.0034338,0,0,0,0,0,0,0,0,0,0,May,1,Downstream Bemidji,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,37,15.025,18,0.486486486,0,11853.31,0.01185331,6,3,7,0,1,1,0,0,0,0,May,1,Downstream Bemidji,2,0.745098039,757.0739093,378.5369547,883.2528942,0,126.1789849,126.1789849,0,0,0,0,0.704207825,2271.966826,0.704207825,1
